row_id,session_id,timestamp,src_ip,dst_port,country_code,user_agent,login_attempts_last_1h,failed_logins_last_24h,session_duration_sec,bytes_sent,bytes_received,num_requests_per_session,password_entropy,account_age_days,is_vpn,is_tor_exit_node,device_fingerprint_match,geo_velocity_kmph,new_device,captcha_triggered,login_hour,weekend_login,payload_anomaly_score,label
185,a54016aad764fda3,14-11-2024 12:38,45.51.93.37,443,NL,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2,4,3051,9674,2245,60,4.27,503,0,0,1,10.4,0,1,14,0,0.176,0
5,ec98fcc8df398837,10-12-2024 18:53,103.180.204.235,443,JP,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,2,0,1306,12657,44646,104,5.1,1381,0,0,1,46.7,0,1,12,0,0.253,0
356,7ddf4ba4666b2ca6,24-02-2024 01:15,62.239.73.11,80,BR,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,4,43,29,2630,4460,359,3.15,54,1,0,0,474.2,1,1,5,1,0.421,1
374,bcc9b2333d482a0a,06-01-2024 00:51,203.57.14.192,8443,NL,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,2,1,1665,8624,71137,21,3.92,93,0,0,1,81.6,0,1,19,0,0.297,0
292,27cc5bf803d1da8d,06-04-2024 13:35,77.144.80.225,80,NL,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,2,1,1355,14264,21786,15,4.66,273,0,0,1,47.9,0,1,10,0,0.09,0
329,ac307118c38726da,04-12-2024 16:39,192.168.180.240,80,US,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,0,2,2250,11334,77426,102,4.26,1256,0,0,1,43.4,0,0,20,0,0.101,0
195,a40929f79c7b4c82,15-01-2024 07:22,62.147.75.72,80,FR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,0,4,1508,6247,28278,21,5.89,1389,0,0,1,56.2,0,0,21,0,0.029,0
51,05481b9a1a307372,21-05-2024 10:55,192.168.217.195,443,JP,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,0,4,1470,12080,11626,13,5.78,77,0,0,1,38.6,0,0,12,0,0.287,0
302,50bdd66510641923,11-11-2024 04:29,194.38.164.248,443,FR,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,2,3,3082,11492,63813,108,4.63,1794,0,0,1,7.6,0,1,20,1,0.269,0
224,6a4e490015aa7589,29-09-2024 03:28,192.168.127.217,443,NL,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,1,0,2057,6915,59756,9,3.77,1811,0,0,1,96.3,0,0,18,0,0.194,0
198,ed3ae709fe8b5d52,17-11-2024 14:22,91.117.168.134,443,AU,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,1,1,530,14147,77726,118,4.03,1501,0,0,1,74.1,0,0,10,0,0.259,0
162,8f42e851d961f947,17-12-2024 15:56,103.216.178.245,443,IN,Mozilla/5.0 (X11; Linux x86_64) Firefox/121,0,4,2433,5098,27962,17,5.46,718,0,0,0,19.5,0,0,17,1,0.02,0
44,735e539f8a429b99,08-07-2024 22:16,45.246.141.35,443,PK,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,1,20,8,2075,2628,300,2.67,5,0,0,0,3591.8,1,0,4,1,0.556,1
333,319391a946320865,20-07-2024 01:26,185.93.3.116,443,CA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/537,1,4,3385,1705,16336,77,5.45,1414,0,0,1,12.0,0,0,7,0,0.154,0
409,b6fec302db5d5975,15-09-2024 15:11,45.189.217.20,443,IN,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120,0,2,1428,12437,66026,37,3.66,1648,0,0,1,50.6,0,0,11,0,0.184,0
60,581c40715040687a,12-04-2024 23:26,203.136.62.163,80,AU,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/Safari,0,2,2776,3488,49643,41,3.61,1863,0,0,1,118.5,0,0,15,0,0.011,0
