user_id,event_timestamp,device_type,location,transaction_amount,failed_login_attempts,session_duration,is_fraud
user_1,2026-01-01 01:15:00,mobile,Cairo,950,5,2,1
user_2,2026-01-01 09:20:00,desktop,Alex,52,0,15,0
user_3,2026-01-02 10:40:00,desktop,Cairo,61,1,12,0
user_4,2026-01-02 02:05:00,mobile,Giza,1120,6,1,1
user_5,2026-01-03 11:45:00,desktop,Alex,58,0,16,0
user_6,2026-01-03 03:10:00,mobile,Cairo,1030,4,3,1
user_7,2026-01-04 13:30:00,desktop,Alex,64,0,11,0
user_8,2026-01-04 15:20:00,desktop,Giza,71,1,13,0
user_9,2026-01-05 01:55:00,mobile,Cairo,1260,7,1,1
user_10,2026-01-05 16:45:00,desktop,Alex,67,0,12,0
user_1,2026-01-06 12:20:00,mobile,Cairo,72,0,10,0
user_2,2026-01-06 02:35:00,desktop,Giza,990,5,2,1
user_3,2026-01-07 10:05:00,desktop,Alex,59,0,14,0
user_4,2026-01-07 04:15:00,mobile,Cairo,1110,6,2,1
user_5,2026-01-08 14:50:00,desktop,Alex,66,1,13,0
user_6,2026-01-08 09:05:00,mobile,Giza,74,0,12,0
user_7,2026-01-09 03:30:00,mobile,Cairo,1180,5,1,1
user_8,2026-01-09 11:40:00,desktop,Alex,62,0,15,0
user_9,2026-01-10 13:25:00,desktop,Giza,69,1,11,0
user_10,2026-01-10 01:10:00,mobile,Cairo,1210,6,2,1
